Year,State,Communicable diseases,Number,Rate
2014,Negeri Sembilan,Dengue haemorrhagic fever,14,1.29
2014,Negeri Sembilan,Diphteria,,
2014,Negeri Sembilan,Dysentry ,1,0.09
2014,Negeri Sembilan,Food poisoning,1383,127.57
2014,Negeri Sembilan,Gonorrhoea,33,3.04
2014,Negeri Sembilan,H.I.V,105,9.69
2014,Negeri Sembilan,"Hand, Foot and Mouth Disease",1011,93.26
2014,Negeri Sembilan,Hepatitis A,2,0.18
2014,Negeri Sembilan,Hepatitis B,87,8.03
2014,Negeri Sembilan,Hepatitis C,105,9.69
2014,Negeri Sembilan,Leprosy,8,0.74
2014,Negeri Sembilan,Leptospirosis,302,27.86
2014,Negeri Sembilan,Malaria,32,2.95
2014,Negeri Sembilan,Measles,1,0.09
2014,Negeri Sembilan,Neonatal Tetanus ,,
2014,Negeri Sembilan,Other Specified Viral,,
2014,Negeri Sembilan,Other Tetanus,,
2014,Negeri Sembilan,Syphillis,56,5.17
2014,Negeri Sembilan,Tuberculosis,680,62.72
2014,Negeri Sembilan,Typhoid,5,0.46
2014,Negeri Sembilan,Typhus,,
2014,Negeri Sembilan,Viral encephalitis,3,0.28
2014,Negeri Sembilan,Whooping cough,36,3.32
2014,Pahang,A.I.D.S,138,8.64
2014,Pahang,Cholera,,
2014,Pahang,Dengue fever,2157,135.01
2014,Pahang,Dengue haemorrhagic fever,13,0.81
2014,Pahang,Diphteria,,
2014,Pahang,Dysentry ,5,0.31
2014,Pahang,Food poisoning,819,51.26
2014,Pahang,Gonorrhoea,115,7.2
2014,Pahang,H.I.V,215,13.46
2014,Pahang,"Hand, Foot and Mouth Disease",233,14.58
2014,Pahang,Hepatitis A,4,0.25
2014,Pahang,Hepatitis B,217,13.58
2014,Pahang,Hepatitis C,332,20.78
2014,Pahang,Leprosy,45,2.82
2014,Pahang,Leptospirosis,288,18.03
2014,Pahang,Malaria,128,8.01
2014,Pahang,Measles,3,0.19
2014,Pahang,Neonatal Tetanus ,,
2014,Pahang,Other Specified Viral,,
2014,Pahang,Other Tetanus,,
2014,Pahang,Syphillis,69,4.32
2014,Pahang,Tuberculosis,917,57.4
2014,Pahang,Typhoid,1,0.06
2014,Pahang,Typhus,,
2014,Pahang,Viral encephalitis,1,0.06
2014,Pahang,Whooping cough,14,0.88
2014,Perak,A.I.D.S,70,2.85
2014,Perak,Cholera,,
2014,Perak,Dengue fever,7479,304.43
2014,Perak,Dengue haemorrhagic fever,46,1.87
2014,Perak,Diphteria,,
2014,Perak,Dysentry ,12,0.49
2014,Perak,Food poisoning,1670,67.98
2014,Perak,Gonorrhoea,15,0.61
2014,Perak,H.I.V,156,6.35
2014,Perak,"Hand, Foot and Mouth Disease",1655,67.37
2014,Perak,Hepatitis A,,
2014,Perak,Hepatitis B,77,3.13
2014,Perak,Hepatitis C,130,5.29
2014,Perak,Leprosy,14,0.57
2014,Perak,Leptospirosis,621,25.28
2014,Perak,Malaria,81,3.3
2014,Perak,Measles,4,0.16
2014,Perak,Neonatal Tetanus ,,
2014,Perak,Other Specified Viral,1,0.04
2014,Perak,Other Tetanus,1,0.04
2014,Perak,Syphillis,55,2.24
2014,Perak,Tuberculosis,1611,65.58
2014,Perak,Typhoid,12,0.49
2014,Perak,Typhus,,
2014,Perak,Viral encephalitis,4,0.16
2014,Perak,Whooping cough,17,0.69
2014,Perlis,A.I.D.S,12,4.93
2014,Perlis,Cholera,,
2014,Perlis,Dengue fever,317,130.13
2014,Perlis,Dengue haemorrhagic fever,,
2014,Perlis,Diphteria,,
2014,Perlis,Dysentry ,3,1.23
2014,Perlis,Food poisoning,489,200.74
2014,Perlis,Gonorrhoea,6,2.46
2014,Perlis,H.I.V,19,7.8
2014,Perlis,"Hand, Foot and Mouth Disease",277,113.71
2014,Perlis,Hepatitis A,,
2014,Perlis,Hepatitis B,21,8.62
2014,Perlis,Hepatitis C,48,19.7
2014,Perlis,Leprosy,1,0.41
2014,Perlis,Leptospirosis,20,8.21
2014,Perlis,Malaria,2,0.82
2014,Perlis,Measles,,
2014,Perlis,Neonatal Tetanus ,,
2014,Perlis,Other Specified Viral,,
2014,Perlis,Other Tetanus,1,0.41
2014,Perlis,Syphillis,8,3.28
2014,Perlis,Tuberculosis,119,48.85
2014,Perlis,Typhoid,5,2.05
2014,Perlis,Typhus,,
2014,Perlis,Viral encephalitis,,
2014,Perlis,Whooping cough,18,7.39
2014,Pulau Pinang,A.I.D.S,24,1.46
2014,Pulau Pinang,Cholera,,
2014,Pulau Pinang,Dengue fever,3096,188.13
2014,Pulau Pinang,Dengue haemorrhagic fever,45,2.73
2014,Pulau Pinang,Diphteria,,
2014,Pulau Pinang,Dysentry ,2,0.12
2014,Pulau Pinang,Food poisoning,2227,135.32
2014,Pulau Pinang,Gonorrhoea,12,0.73
2014,Pulau Pinang,H.I.V,110,6.68
2014,Pulau Pinang,"Hand, Foot and Mouth Disease",1450,88.11
2014,Pulau Pinang,Hepatitis A,,
2014,Pulau Pinang,Hepatitis B,13,0.79
2014,Pulau Pinang,Hepatitis C,22,1.34
2014,Pulau Pinang,Leprosy,10,0.61
2014,Pulau Pinang,Leptospirosis,191,11.61
2014,Pulau Pinang,Malaria,37,2.25
2014,Pulau Pinang,Measles,1,0.06
2014,Pulau Pinang,Neonatal Tetanus ,,
2014,Pulau Pinang,Other Specified Viral,,
2014,Pulau Pinang,Other Tetanus,,
2014,Pulau Pinang,Syphillis,59,3.59
2014,Pulau Pinang,Tuberculosis,1252,76.08
2014,Pulau Pinang,Typhoid,9,0.55
2014,Pulau Pinang,Typhus,1,0.06
2014,Pulau Pinang,Viral encephalitis,6,0.36
2014,Pulau Pinang,Whooping cough,4,0.24
2014,Sabah,A.I.D.S,101,2.9
2014,Sabah,Cholera,134,3.84
2014,Sabah,Dengue fever,1433,41.12
2014,Sabah,Dengue haemorrhagic fever,23,0.66
2014,Sabah,Diphteria,1,0.03
2014,Sabah,Dysentry ,7,0.2
2014,Sabah,Food poisoning,1689,48.46
2014,Sabah,Gonorrhoea,219,6.28
2014,Sabah,H.I.V,257,7.37
2014,Sabah,"Hand, Foot and Mouth Disease",559,16.04
2014,Sabah,Hepatitis A,20,0.57
2014,Sabah,Hepatitis B,1545,44.33
2014,Sabah,Hepatitis C,40,1.15
2014,Sabah,Leprosy,104,2.98
2014,Sabah,Leptospirosis,930,26.68
2014,Sabah,Malaria,1779,51.04
2014,Sabah,Measles,81,2.32
2014,Sabah,Neonatal Tetanus ,8,0.14
2014,Sabah,Other Specified Viral,78,2.24
2014,Sabah,Other Tetanus,6,0.17
2014,Sabah,Syphillis,281,8.06
2014,Sabah,Tuberculosis,4747,136.2
2014,Sabah,Typhoid,66,1.89
2014,Sabah,Typhus,,
2014,Sabah,Viral encephalitis,10,0.29
2014,Sabah,Whooping cough,20,0.57
2014,Sarawak,A.I.D.S,122,4.68
2014,Sarawak,Cholera,,
2014,Sarawak,Dengue fever,2543,97.6
2014,Sarawak,Dengue haemorrhagic fever,28,1.07
2014,Sarawak,Diphteria,,
2014,Sarawak,Dysentry ,8,0.31
2014,Sarawak,Food poisoning,1035,39.72
2014,Sarawak,Gonorrhoea,701,26.9
2014,Sarawak,H.I.V,235,9.02
2014,Sarawak,"Hand, Foot and Mouth Disease",9481,363.88
2014,Sarawak,Hepatitis A,8,0.31
2014,Sarawak,Hepatitis B,264,10.13
2014,Sarawak,Hepatitis C,227,8.71
2014,Sarawak,Leprosy,31,1.19
2014,Sarawak,Leptospirosis,616,23.64
2014,Sarawak,Malaria,1301,49.93
2014,Sarawak,Measles,7,0.27
2014,Sarawak,Neonatal Tetanus ,,
2014,Sarawak,Other Specified Viral,,
2014,Sarawak,Other Tetanus,,
2014,Sarawak,Syphillis,253,9.71
2014,Sarawak,Tuberculosis,2793,107.2
2014,Sarawak,Typhoid,9,0.35
2014,Sarawak,Typhus,,
2014,Sarawak,Viral encephalitis,21,0.81
2014,Sarawak,Whooping cough,61,2.34
2014,Selangor,A.I.D.S,83,1.43
2014,Selangor,Cholera,,
2014,Selangor,Dengue fever,53682,925.54
2014,Selangor,Dengue haemorrhagic fever,608,10.48
2014,Selangor,Diphteria,,
2014,Selangor,Dysentry ,26,0.45
2014,Selangor,Food poisoning,2680,46.21
2014,Selangor,Gonorrhoea,174,3
2014,Selangor,H.I.V,824,14.21
2014,Selangor,"Hand, Foot and Mouth Disease",9121,157.26
2014,Selangor,Hepatitis A,16,0.28
2014,Selangor,Hepatitis B,680,11.72
2014,Selangor,Hepatitis C,216,3.72
2014,Selangor,Leprosy,41,0.71
2014,Selangor,Leptospirosis,1832,31.59
2014,Selangor,Malaria,326,5.62
2014,Selangor,Measles,24,0.41
2014,Selangor,Neonatal Tetanus ,,
2014,Selangor,Other Specified Viral,17,0.29
2014,Selangor,Other Tetanus,,
2014,Selangor,Syphillis,406,7
2014,Selangor,Tuberculosis,4365,75.26
2014,Selangor,Typhoid,18,0.31
2014,Selangor,Typhus,,
2014,Selangor,Viral encephalitis,,
2014,Selangor,Whooping cough,161,2.78
2014,Terengganu,A.I.D.S,100,8.83
2014,Terengganu,Cholera,,
2014,Terengganu,Dengue fever,1618,142.84
2014,Terengganu,Dengue haemorrhagic fever,70,6.18
2014,Terengganu,Diphteria,,
2014,Terengganu,Dysentry ,3,0.26
2014,Terengganu,Food poisoning,999,88.2
2014,Terengganu,Gonorrhoea,33,2.91
2014,Terengganu,H.I.V,210,18.54
2014,Terengganu,"Hand, Foot and Mouth Disease",415,36.64
2014,Terengganu,Hepatitis A,,
2014,Terengganu,Hepatitis B,85,7.5
2014,Terengganu,Hepatitis C,201,17.75
2014,Terengganu,Leprosy,4,0.35
2014,Terengganu,Leptospirosis,374,33.02
2014,Terengganu,Malaria,17,1.5
2014,Terengganu,Measles,2,0.18
2014,Terengganu,Neonatal Tetanus ,,
2014,Terengganu,Other Specified Viral,,
