State,Administrative district,Year,Hospital type,Hospital Category,Number of Hospital,Number of Bed
Johor,Mersing,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Mersing,2016,Non-MoH,,,
Johor,Mersing,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,55
Johor,Mersing,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Mersing,2017,Non-MoH,,,
Johor,Mersing,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Mersing,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Mersing,2018,Non-MoH,,,
Johor,Muar,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,550
Johor,Muar,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Muar,2015,Non-MoH,,,
Johor,Muar,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,550
Johor,Muar,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Muar,2016,Non-MoH,,,
Johor,Muar,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,550
Johor,Muar,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Muar,2017,Non-MoH,,,
Johor,Muar,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Muar,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Muar,2018,Non-MoH,,,
Johor,Pontian,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,120
Johor,Pontian,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Pontian,2015,Non-MoH,,,
Johor,Pontian,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,120
Johor,Pontian,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Pontian,2016,Non-MoH,,,
Johor,Pontian,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,120
Johor,Pontian,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Pontian,2017,Non-MoH,,,
Johor,Pontian,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Pontian,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Pontian,2018,Non-MoH,,,
Johor,Segamat,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,314
Johor,Segamat,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Segamat,2015,Non-MoH,,,
Johor,Segamat,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,314
Johor,Segamat,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Segamat,2016,Non-MoH,,,
Johor,Segamat,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,314
Johor,Segamat,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Segamat,2017,Non-MoH,,,
Johor,Segamat,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Segamat,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Segamat,2018,Non-MoH,,,
Kedah,Baling,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,160
Kedah,Baling,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Baling,2015,Non-MoH,,,
Kedah,Baling,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,160
Kedah,Baling,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Baling,2016,Non-MoH,,,
Kedah,Baling,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,160
Kedah,Baling,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Baling,2017,Non-MoH,,,
Kedah,Baling,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Baling,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Baling,2018,Non-MoH,,,
Kedah,Bandar Baharu,2015,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Bandar Baharu,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Bandar Baharu,2015,Non-MoH,,,
Kedah,Bandar Baharu,2016,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Bandar Baharu,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Bandar Baharu,2016,Non-MoH,,,
Kedah,Bandar Baharu,2017,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Bandar Baharu,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Bandar Baharu,2017,Non-MoH,,,
Kedah,Bandar Baharu,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Bandar Baharu,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Bandar Baharu,2018,Non-MoH,,,
Kedah,Kota Setar,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,1084
Kedah,Kota Setar,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kota Setar,2015,Non-MoH,,,
Kedah,Kota Setar,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,1084
Kedah,Kota Setar,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kota Setar,2016,Non-MoH,,,
Kedah,Kota Setar,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,1081
Kedah,Kota Setar,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kota Setar,2017,Non-MoH,,,
Kedah,Kota Setar,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Kota Setar,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kota Setar,2018,Non-MoH,,,
Kedah,Kuala Muda,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,628
Kedah,Kuala Muda,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kuala Muda,2015,Non-MoH,,,
Kedah,Kuala Muda,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,628
Kedah,Kuala Muda,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kuala Muda,2016,Non-MoH,,,
Kedah,Kuala Muda,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,628
Kedah,Kuala Muda,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kuala Muda,2017,Non-MoH,,,
Kedah,Kuala Muda,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Kuala Muda,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kuala Muda,2018,Non-MoH,,,
Kedah,Kubang Pasu,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,103
Kedah,Kubang Pasu,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kubang Pasu,2015,Non-MoH,,,
Kedah,Kubang Pasu,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,103
Kedah,Kubang Pasu,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kubang Pasu,2016,Non-MoH,,,
Kedah,Kubang Pasu,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,103
Kedah,Kubang Pasu,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kubang Pasu,2017,Non-MoH,,,
Kedah,Kubang Pasu,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Kubang Pasu,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kubang Pasu,2018,Non-MoH,,,
Kedah,Kulim,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,314
Kedah,Kulim,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kulim,2015,Non-MoH,,,
Kedah,Kulim,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,350
Kedah,Kulim,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kulim,2016,Non-MoH,,,
Kedah,Kulim,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,350
Kedah,Kulim,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kulim,2017,Non-MoH,,,
Kedah,Kulim,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Kulim,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Kulim,2018,Non-MoH,,,
Kedah,Langkawi,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,110
Kedah,Langkawi,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Langkawi,2015,Non-MoH,,,
Kedah,Langkawi,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,110
Kedah,Langkawi,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Langkawi,2016,Non-MoH,,,
Kedah,Langkawi,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,110
Kedah,Langkawi,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Langkawi,2017,Non-MoH,,,
Kedah,Langkawi,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Langkawi,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Langkawi,2018,Non-MoH,,,
Kedah,Padang Terap,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,72
Kedah,Padang Terap,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Padang Terap,2015,Non-MoH,,,
Kedah,Padang Terap,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,72
Kedah,Padang Terap,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Padang Terap,2016,Non-MoH,,,
Kedah,Padang Terap,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,89
Kedah,Padang Terap,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Padang Terap,2017,Non-MoH,,,
Kedah,Padang Terap,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Padang Terap,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Padang Terap,2018,Non-MoH,,,
Kedah,Pendang,2015,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pendang,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pendang,2015,Non-MoH,,,
Kedah,Pendang,2016,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pendang,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pendang,2016,Non-MoH,,,
Kedah,Pendang,2017,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pendang,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pendang,2017,Non-MoH,,,
Kedah,Pendang,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pendang,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pendang,2018,Non-MoH,,,
Kedah,Pokok Sena,2015,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pokok Sena,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pokok Sena,2015,Non-MoH,,,
Kedah,Pokok Sena,2016,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pokok Sena,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pokok Sena,2016,Non-MoH,,,
Kedah,Pokok Sena,2017,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pokok Sena,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pokok Sena,2017,Non-MoH,,,
Kedah,Pokok Sena,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Pokok Sena,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Pokok Sena,2018,Non-MoH,,,
Kedah,Sik,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,93
Kedah,Sik,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Sik,2015,Non-MoH,,,
Kedah,Sik,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,93
Kedah,Sik,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Sik,2016,Non-MoH,,,
Kedah,Sik,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,93
Kedah,Sik,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Sik,2017,Non-MoH,,,
Kedah,Sik,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Sik,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Sik,2018,Non-MoH,,,
Kedah,Yan,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,89
Kedah,Yan,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Yan,2015,Non-MoH,,,
Kedah,Yan,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,89
Kedah,Yan,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Yan,2016,Non-MoH,,,
Kedah,Yan,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,89
Kedah,Yan,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Yan,2017,Non-MoH,,,
Kedah,Yan,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kedah,Yan,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kedah,Yan,2018,Non-MoH,,,
Kelantan,Bachok,2015,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Bachok,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Bachok,2015,Non-MoH,,,
Kelantan,Bachok,2016,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Bachok,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Bachok,2016,Non-MoH,,,
Kelantan,Bachok,2017,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Bachok,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Bachok,2017,Non-MoH,,,
Kelantan,Bachok,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Bachok,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Bachok,2018,Non-MoH,,,
Kelantan,Gua Musang,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Kelantan,Gua Musang,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Gua Musang,2015,Non-MoH,,,
Kelantan,Gua Musang,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Kelantan,Gua Musang,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Gua Musang,2016,Non-MoH,,,
Kelantan,Gua Musang,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Kelantan,Gua Musang,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Gua Musang,2017,Non-MoH,,,
Kelantan,Gua Musang,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Gua Musang,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Gua Musang,2018,Non-MoH,,,
Kelantan,Jeli,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,24
Kelantan,Jeli,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Jeli,2015,Non-MoH,,,
Kelantan,Jeli,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,80
Kelantan,Jeli,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Jeli,2016,Non-MoH,,,
Kelantan,Jeli,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,80
Kelantan,Jeli,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Jeli,2017,Non-MoH,,,
Kelantan,Jeli,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Jeli,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Jeli,2018,Non-MoH,,,
Kelantan,Kota Bharu,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,920
Kelantan,Kota Bharu,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kota Bharu,2015,Non-MoH,,1,769
Kelantan,Kota Bharu,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,937
Kelantan,Kota Bharu,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kota Bharu,2016,Non-MoH,,1,773
Kelantan,Kota Bharu,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,937
Kelantan,Kota Bharu,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kota Bharu,2017,Non-MoH,,1,774
Kelantan,Kota Bharu,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Kota Bharu,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kota Bharu,2018,Non-MoH,,,
Kelantan,Kuala Krai,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,172
Kelantan,Kuala Krai,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kuala Krai,2015,Non-MoH,,,
Kelantan,Kuala Krai,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,172
Kelantan,Kuala Krai,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kuala Krai,2016,Non-MoH,,,
Kelantan,Kuala Krai,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,172
Kelantan,Kuala Krai,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kuala Krai,2017,Non-MoH,,,
Kelantan,Kuala Krai,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Kuala Krai,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Kuala Krai,2018,Non-MoH,,,
Kelantan,Machang,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Kelantan,Machang,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Machang,2015,Non-MoH,,,
Kelantan,Machang,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Kelantan,Machang,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Machang,2016,Non-MoH,,,
Kelantan,Machang,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Kelantan,Machang,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Machang,2017,Non-MoH,,,
Kelantan,Machang,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Machang,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Machang,2018,Non-MoH,,,
Kelantan,Pasir Mas,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,120
Kelantan,Pasir Mas,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Mas,2015,Non-MoH,,,
Kelantan,Pasir Mas,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,120
Kelantan,Pasir Mas,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Mas,2016,Non-MoH,,,
Kelantan,Pasir Mas,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,120
Kelantan,Pasir Mas,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Mas,2017,Non-MoH,,,
Kelantan,Pasir Mas,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Pasir Mas,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Mas,2018,Non-MoH,,,
Kelantan,Pasir Puteh,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,75
Kelantan,Pasir Puteh,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Puteh,2015,Non-MoH,,,
Kelantan,Pasir Puteh,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,75
Kelantan,Pasir Puteh,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Puteh,2016,Non-MoH,,,
Kelantan,Pasir Puteh,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,75
Kelantan,Pasir Puteh,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Puteh,2017,Non-MoH,,,
Kelantan,Pasir Puteh,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Pasir Puteh,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Pasir Puteh,2018,Non-MoH,,,
Kelantan,Tanah Merah,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,130
Kelantan,Tanah Merah,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tanah Merah,2015,Non-MoH,,,
Kelantan,Tanah Merah,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,133
Kelantan,Tanah Merah,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tanah Merah,2016,Non-MoH,,,
Kelantan,Tanah Merah,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,133
Kelantan,Tanah Merah,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tanah Merah,2017,Non-MoH,,,
Kelantan,Tanah Merah,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Tanah Merah,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tanah Merah,2018,Non-MoH,,,
Kelantan,Tumpat,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,119
Kelantan,Tumpat,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tumpat,2015,Non-MoH,,,
Kelantan,Tumpat,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,119
